step	current_J	total_iteration_local_update	local_update_improvement	total_iteration_partial_exhaustion	partial_exhaustion_improvement
0	0.41071751150210051	10	9650.8534049418104	10	9652.6722256989706
1	0.20043348942375186	9	778.38899614936599	11	778.59928017144432
2	0.17449503633466734	9	116.48449859563055	11	116.51043704871965
3	0.16986454418128968	9	0.21593381640803455	11	0.22056430856141221
4	0.16845559679834965	9	0.048138724140911054	11	0.049547671523851089
5	0.16765848041695577	9	0.00071819920541255078	11	7.8917175981324528e-05
6	0.16730438923089558	18	0.00031670445479278775	2	3.7386731267408102e-05
7	0.16704908231142693	17	0.00023773485637654246	3	1.7572063092108348e-05
8	0.16693777367151955	18	0.0001018568594214897	2	9.451780485891792e-06
9	0.16685034973723228	18	8.1981851284718132e-05	2	5.4420830025436739e-06
10	0.16679466520112771	18	5.310979811087857e-05	2	2.5747379936991166e-06
11	0.16675167461794427	19	4.2229992133047123e-05	1	7.6059105039161246e-07
12	0.16673935656021996	19	1.1920410931010039e-05	1	3.9764679329867825e-07
13	0.16673052058839788	19	8.7149394719931994e-06	1	1.2103235008664726e-07
14	0.16672738260782871	19	3.0447240965680855e-06	1	9.3256472599723139e-08
15	0.16672394580550734	19	3.4023004460703721e-06	1	3.4501875301184981e-08
16	0.16672304684476769	19	8.8770487866041137e-07	1	1.1255860993264477e-08
17	0.16672235319953355	19	6.7897225417001827e-07	1	1.4672979969931887e-08
18	0.16671972441736252	19	2.6285837795847478e-06	1	1.9839144216327043e-10
19	0.16671938319515373	19	3.4090285680465904e-07	1	3.1935198929744502e-10
20	0.16671914993364498	19	2.3297367379715439e-07	1	2.8783495031881046e-10
21	0.16671898704406896	19	1.6161479418630442e-07	1	1.2747818356473317e-09
22	0.1667189813674865	19	5.6343255061541697e-09	1	4.2256947940799705e-11
23	0.16671896315167015	19	1.8215815189570606e-08	1	1.1657341758564144e-15
24	0.16671896284197713	19	3.019547667459932e-10	1	7.7382544816373411e-12
25	0.16671896148276738	19	1.3592097447556739e-09	1	0
26	0.16671896131267072	19	1.7009665898015669e-10	1	0
27	0.16671896073060127	19	5.8206944819616524e-10	1	0
28	0.16671896040456496	19	3.260363090618057e-10	1	0
29	0.16671896076348749	19	3.5892253058555923e-10	1	0
30	0.16671896052376287	19	2.3972462903643077e-10	1	0
31	0.16671896028770422	19	2.3603854981679717e-10	1	2.0095036745715333e-14
32	0.16671896026705635	19	2.064787230082743e-11	1	0
